signature	gene	n_genes
D7D30_vs_D0_top100	GSTP1	100
D7D30_vs_D0_top100	TUBA1C	100
D7D30_vs_D0_top100	PPIC	100
D7D30_vs_D0_top100	FKBP11	100
D7D30_vs_D0_top100	CALD1	100
D7D30_vs_D0_top100	PRDX5	100
D7D30_vs_D0_top100	TGFBI	100
D7D30_vs_D0_top100	PHPT1	100
D7D30_vs_D0_top100	CD63	100
D7D30_vs_D0_top100	AP2S1	100
D7D30_vs_D0_top100	COL12A1	100
D7D30_vs_D0_top100	UQCR11	100
D7D30_vs_D0_top100	ATOX1	100
D7D30_vs_D0_top100	CALU	100
D7D30_vs_D0_top100	UQCR10	100
D7D30_vs_D0_top100	PKM	100
D7D30_vs_D0_top100	FKBP10	100
D7D30_vs_D0_top100	TMEM208	100
D7D30_vs_D0_top100	CTSB	100
D7D30_vs_D0_top100	YIF1A	100
D7D30_vs_D0_top100	RAB13	100
D7D30_vs_D0_top100	MFAP2	100
D7D30_vs_D0_top100	LSM7	100
D7D30_vs_D0_top100	CERCAM	100
D7D30_vs_D0_top100	NDUFA13	100
D7D30_vs_D0_top100	MYL9	100
D7D30_vs_D0_top100	TPM4	100
D7D30_vs_D0_top100	TUBB3	100
D7D30_vs_D0_top100	MYDGF	100
D7D30_vs_D0_top100	ATP5MC3	100
D7D30_vs_D0_top100	DYNLT1	100
D7D30_vs_D0_top100	LMAN1	100
D7D30_vs_D0_top100	MYL12A	100
D7D30_vs_D0_top100	ARPC3	100
D7D30_vs_D0_top100	MGST3	100
D7D30_vs_D0_top100	NME1	100
D7D30_vs_D0_top100	CPXM1	100
D7D30_vs_D0_top100	CD99	100
D7D30_vs_D0_top100	KDELR2	100
D7D30_vs_D0_top100	PRSS23	100
D7D30_vs_D0_top100	PGAM1	100
D7D30_vs_D0_top100	CKAP4	100
D7D30_vs_D0_top100	KDELR3	100
D7D30_vs_D0_top100	ISLR	100
D7D30_vs_D0_top100	CYTOR	100
D7D30_vs_D0_top100	SH3BGRL3	100
D7D30_vs_D0_top100	FOXP1	100
D7D30_vs_D0_top100	TMED9	100
D7D30_vs_D0_top100	AP2M1	100
D7D30_vs_D0_top100	CAPZB	100
D7_consensus_vs_D0_D1_D30_top100	PPP1R14B	100
D7_consensus_vs_D0_D1_D30_top100	C11orf96	100
D7_consensus_vs_D0_D1_D30_top100	MAP2K2	100
D7_consensus_vs_D0_D1_D30_top100	CAVIN3	100
D7_consensus_vs_D0_D1_D30_top100	BRI3	100
D7_consensus_vs_D0_D1_D30_top100	MZT2B	100
D7_consensus_vs_D0_D1_D30_top100	INHBA	100
D7_consensus_vs_D0_D1_D30_top100	SPHK1	100
D7_consensus_vs_D0_D1_D30_top100	ANGPTL4	100
D7_consensus_vs_D0_D1_D30_top100	VIM	100
D7_consensus_vs_D0_D1_D30_top100	CTSZ	100
D7_consensus_vs_D0_D1_D30_top100	COTL1	100
D7_consensus_vs_D0_D1_D30_top100	TPM2	100
D7_consensus_vs_D0_D1_D30_top100	TPM4	100
D7_consensus_vs_D0_D1_D30_top100	PTMS	100
D7_consensus_vs_D0_D1_D30_top100	CXCL8	100
D7_consensus_vs_D0_D1_D30_top100	CKS2	100
D7_consensus_vs_D0_D1_D30_top100	PLIN2	100
D7_consensus_vs_D0_D1_D30_top100	EMILIN1	100
D7_consensus_vs_D0_D1_D30_top100	MXRA8	100
D7_consensus_vs_D0_D1_D30_top100	CLEC11A	100
D7_consensus_vs_D0_D1_D30_top100	TK1	100
D7_consensus_vs_D0_D1_D30_top100	RPSA	100
D7_consensus_vs_D0_D1_D30_top100	PCLAF	100
D7_consensus_vs_D0_D1_D30_top100	RPS2	100
D7_consensus_vs_D0_D1_D30_top100	BAALC	100
D7_consensus_vs_D0_D1_D30_top100	ACBD3	100
D7_consensus_vs_D0_D1_D30_top100	DUT	100
D7_consensus_vs_D0_D1_D30_top100	MYDGF	100
D7_consensus_vs_D0_D1_D30_top100	P4HB	100
D7_consensus_vs_D0_D1_D30_top100	PTTG1	100
D7_consensus_vs_D0_D1_D30_top100	C4orf48	100
D7_consensus_vs_D0_D1_D30_top100	ACTA2	100
D7_consensus_vs_D0_D1_D30_top100	UBE2M	100
D7_consensus_vs_D0_D1_D30_top100	MXRA7	100
D7_consensus_vs_D0_D1_D30_top100	MRPS24	100
D7_consensus_vs_D0_D1_D30_top100	KDELR2	100
D7_consensus_vs_D0_D1_D30_top100	GNAI2	100
D7_consensus_vs_D0_D1_D30_top100	CYBA	100
D7_consensus_vs_D0_D1_D30_top100	MZT2A	100
D7_consensus_vs_D0_D1_D30_top100	LDHB	100
D7_consensus_vs_D0_D1_D30_top100	RCN1	100
D7_consensus_vs_D0_D1_D30_top100	C12orf75	100
D7_consensus_vs_D0_D1_D30_top100	RRAD	100
D7_consensus_vs_D0_D1_D30_top100	ACAA2	100
D7_consensus_vs_D0_D1_D30_top100	BIRC5	100
D7_consensus_vs_D0_D1_D30_top100	CENPF	100
D7_consensus_vs_D0_D1_D30_top100	MMP24OS	100
D7_consensus_vs_D0_D1_D30_top100	DDIT4	100
D7_consensus_vs_D0_D1_D30_top100	HMGN1	100
D7_consensus_vs_D0_D1_D30_top100	SMC4	100
D7_consensus_vs_D0_D1_D30_top100	OAF	100
D7_consensus_vs_D0_D1_D30_top100	AKR7A2	100
D7_consensus_vs_D0_D1_D30_top100	TXNDC5	100
D7_consensus_vs_D0_D1_D30_top100	LMO4	100
D7_consensus_vs_D0_D1_D30_top100	TOP2A	100
D7_consensus_vs_D0_D1_D30_top100	RPL4	100
D7_consensus_vs_D0_D1_D30_top100	MXD4	100
