query	query_gene_n	library	rank	term	p_value	z_score	combined_score	overlap_genes	adjusted_p_value
SRRS_all_modules	135	LINCS_L1000_Ligand_Perturbations_up	9	BTC-BT20	6.093274336845344e-06	9.138026864289023	109.73239610508959	EIF5A;TAGLN;POSTN;TNFRSF12A;CCL20;COL5A2;INHBA;MMP10	6.0280599762478294e-05
SRRS_all_modules	135	LINCS_L1000_Ligand_Perturbations_up	10	GAS6-MDAMB231	6.412829761965776e-06	9.070866141732283	108.46225064848608	COL3A1;TPM4;TPM2;WNT5A;FN1;TGFBI;CALR;CTSB	6.0280599762478294e-05
SRRS_all_modules	135	LINCS_L1000_Ligand_Perturbations_down	5	EPG-MCF7	1.046834032768053e-05	8.449515239166534	96.89190145118008	FKBP11;TAGLN;IL11RA;GSTO1;TPM2;TNC;FN1;INHBA	0.00019680479816039397
SRRS_all_modules	135	LINCS_L1000_Ligand_Perturbations_down	6	BNGF-HS578T	8.50576384196678e-05	7.335565476190476	68.75025055081817	POSTN;SDC4;BASP1;RAB13;PLOD2;VDAC1;TGFBI	0.0013325696685747954
SRRS_all_modules	135	LINCS_L1000_Ligand_Perturbations_down	7	MCSF-HS578T	0.0007923159035091129	5.914478619654914	42.23263254094025	POSTN;COL5A2;TNC;FN1;INHBA;PDIA6	0.010639670704265232
SRRS_all_modules	135	LINCS_L1000_Ligand_Perturbations_down	8	HGF-BT20	0.0010190917397763712	5.621914681124268	38.72849040621563	BASP1;CCL20;PLOD2;ITGAV;THY1;S100A11	0.011974327942372362
SRRS_all_modules	135	LINCS_L1000_Ligand_Perturbations_down	9	PDGFBB-SKBR3	0.004164428200400674	5.021395822720326	27.523155774438205	EIF5A;TPM2;TNC;ENO1;THBS1	0.02915886874668409
SRRS_all_modules	135	LINCS_L1000_Ligand_Perturbations_down	10	MCSF-MCF7	0.004513510198902925	4.922827172827173	26.586614814901992	TGFBR3;LGALS1;IL11RA;WNT5A;FN1	0.02915886874668409
SRRS_d7_wound_alignment	100	Ligand_Perturbations_from_GEO_up	1	17beta-estradiol mouse uterus GSE38800 ligand:120	1.7841501709292823e-47	43.39938080495356	4671.620329160977	TAGLN;ARPC1B;GSTP1;UQCR11;UQCR10;YBX1;PSMA7;ACTG1;SRM;TUBA1C;TUBA1B;LGALS1;GNG5;SEC61G;C1QBP;TMSB4X;SH3BGRL3;SEC61B;SERF2;COX8A;EIF5A;VKORC1;PPP1R14B;TPI1;TPM4;SSR4;LUM;GSTO1;TPM2;PGAM1;NME2;MIF;PDIA6;CKAP4;NME1;COL1A1;RCN3;COL3A1;OSTC;VDAC1;CALR;P4HB;PPIB	4.478216929032499e-45
SRRS_d7_wound_alignment	100	Ligand_Perturbations_from_GEO_up	2	17beta-estradiol mouse uterus GSE38800 ligand:122	1.2260677444874038e-46	41.296820482578994	4365.697597240675	TAGLN;ARPC1B;UQCR11;UQCR10;YBX1;PSMA7;ACTG1;PTMS;EEF1B2;TUBA1C;TUBA1B;LGALS1;GNG5;SEC61G;C1QBP;TMSB4X;SH3BGRL3;SEC61B;SERF2;CTSB;COX8A;EIF5A;VKORC1;PPP1R14B;TPI1;TPM4;SSR4;LUM;GSTO1;TPM2;PGAM1;NME2;MIF;PDIA6;CKAP4;COL1A1;RCN3;COL3A1;RCN1;VDAC1;CALR;P4HB;PPIB	1.5387150193316918e-44
